timestamp,log_type,level,client_ip,user_id,method,endpoint,status_code,response_time_ms,user_agent,message,sql_query,query_duration_ms,server,tenant_id
2025-12-02T13:48:19.552679,web_request,INFO,168.117.243.147,278,POST,/api/settings,200,1745,Mozilla/5.0 (Android 11; Mobile; rv:33.0) Gecko/33.0 Firefox/33.0,Successfully processed POST request to /api/settings,,,server-03,tenant_45
2025-12-02T13:54:10.151806,database_query,INFO,124.174.3.111,,GET,/api/reports,200,237,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 11.0; Trident/3.0),Successfully processed GET request to /api/reports,,,server-05,tenant_46
2025-12-02T13:59:43.499415,database_query,WARNING,48.125.136.38,138,GET,/api/reports,400,61,"Mozilla/5.0 (Windows; U; Windows CE) AppleWebKit/532.33.3 (KHTML, like Gecko) Version/4.0 Safari/532.33.3",Bad request to /api/reports - Invalid parameters,,,server-01,tenant_13
2025-12-02T14:00:24.853284,web_request,ERROR,58.65.16.72,147,GET,/api/webhooks,200,3418,"Mozilla/5.0 (Linux; Android 4.0.2) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/59.0.832.0 Safari/533.0",Successfully processed GET request to /api/webhooks,,,server-04,tenant_33
2025-12-02T14:01:30.476471,web_request,INFO,13.51.221.53,300,GET,/api/reports,200,511,Mozilla/5.0 (Android 2.0; Mobile; rv:32.0) Gecko/32.0 Firefox/32.0,Successfully processed GET request to /api/reports,,,server-03,tenant_12
2025-12-02T14:04:55.088160,web_request,INFO,198.85.101.249,81,GET,/api/users,200,34,"Mozilla/5.0 (iPhone; CPU iPhone OS 12_5_7 like Mac OS X) AppleWebKit/535.0 (KHTML, like Gecko) FxiOS/14.9z6270.0 Mobile/69A439 Safari/535.0",Successfully processed GET request to /api/users,SELECT COUNT(*) FROM products WHERE tenant_id = 'tenant_37',580,server-02,tenant_23
2025-12-02T14:09:00.779182,database_query,INFO,158.103.187.38,33,GET,/api/analytics/dashboard,503,53,"Mozilla/5.0 (iPad; CPU iPad OS 17_2_1 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) FxiOS/16.7m7132.0 Mobile/50Y221 Safari/531.2",Service temporarily unavailable for /api/analytics/dashboard,,,server-04,tenant_48
2025-12-02T14:09:44.123355,database_query,WARNING,25.71.226.214,194,GET,/api/settings,200,165,Mozilla/5.0 (compatible; MSIE 8.0; Windows 98; Trident/4.1),Successfully processed GET request to /api/settings,,,server-01,tenant_3
2025-12-02T14:11:25.729698,database_query,INFO,139.55.178.218,238,GET,/api/integrations,200,3933,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.1),Successfully processed GET request to /api/integrations,,,server-04,tenant_11
2025-12-02T14:17:28.858439,database_query,WARNING,181.216.82.166,342,PUT,/api/billing,200,1627,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.1; Trident/5.0),Successfully processed PUT request to /api/billing,,,server-04,tenant_14
2025-12-02T14:17:51.943523,database_query,INFO,79.182.198.119,169,POST,/api/webhooks,200,447,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_0) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/56.0.867.0 Safari/535.1",Successfully processed POST request to /api/webhooks,,,server-02,tenant_27
